No,关键词,搜索意图,搜索量,每次点击付费,付费难度,SEO难度
1,"魚油","transactional","40,500","NT$120.63","100","22"
2,"魚油比較","commercial, navigational","590","NT$56.53","100","17"
3,"魚油和鈣可以一起吃嗎","commercial, informational","210","NT$14.53","61","9"
4,"魚油評比",null,"170","NT$43.42","100","62"
5,"costco 魚油比較","navigational, commercial","170","NT$18.32","99","48"
6,"魚油和葉黃素可以一起吃嗎",null,"170","NT$9.95","66","51"
7,"魚油蝦紅素","transactional, commercial","170","NT$54.95","100","12"
8,"魚油比例","informational","140","NT$34.11","99","20"
9,"魚油和b群可以一起吃嗎",null,"140","NT$6.95","67","52"
10,"魚油和魚肝油的差別",null,"90","NT$7.26","67","52"
11,"魚油比較表",null,"70","NT$27.47","100","62"
12,"魚油何時吃比較好",null,"70","NT$5.05","89","58"
13,"魚油何時吃較好",null,"70","NT$5.05","89","58"
14,"魚油和維他命c可以一起吃嗎",null,"70","NT$7.26","60","50"
15,"磷蝦油 魚油比較",null,"50","NT$6.79","39","30"
16,"魚油和d3可以一起吃嗎",null,"50","NT$6.00","46","45"
17,"魚油和益生菌可以一起吃嗎",null,"40","NT$5.53","54","48"
18,"魚油比較ptt",null,"30","NT$67.26","99","61"
19,"魚油比價",null,"20","NT$39.79","100","62"
20,"魚油和鋅可以一起吃嗎",null,"20","NT$11.53","28","40"
21,"魚油和納豆紅麴可以一起吃嗎",null,"20","NT$12.47","37","43"
22,"魚油和鐵可以一起吃嗎",null,"20","NT$6.47","60","50"
23,"魚油和維他命d可以一起吃嗎",null,"20","NT$7.89","67","52"
24,"魚油何時吃好",null,"20","NT$6.95","88","58"
25,"魚油和磷蝦油",null,"20","NT$8.68","90","59"
26,"魚油何時吃比較適合",null,"20","NT$6.32","70","53"
27,"魚油和鈣一起吃",null,"10","NT$6.16","40","44"
28,"魚油和薑黃可以一起吃嗎",null,"10","NT$5.37","21","38"
29,"魚油比較 好市多",null,"0","NT$0.00","1","17"
30,"魚油比較推薦",null,"0","NT$0.00","1","30"
31,"魚油比較 dcard",null,"0","NT$0.00","1","17"
32,"魚油和q10可以一起吃嗎",null,"0","NT$0.00","1","30"
33,"魚油 想吐",null,"0","NT$0.00","1","17"
34,"魚油有腥味",null,"0","NT$0.00","1","30"
35,"鱼油 躁郁症",null,"0","NT$0.00","1","17"
36,"魚油何時吃最好",null,"0","NT$0.00","1","30"
37,"鱼油 想吐",null,"0","NT$0.00","1","17"
