No,关键词,搜索意图,搜索量,每次点击付费,付费难度,SEO难度
1,"魚油","transactional","40,500","NT$120.63","100","22"
2,"大研生醫魚油 功效",null,"480","NT$29.68","100","49"
3,"魚油對身體的好處",null,"90","NT$13.42","99","61"
4,"用喝的魚油",null,"90","NT$25.42","100","62"
5,"魚油 用途",null,"70","NT$9.47","90","46"
6,"魚油腹瀉",null,"50","NT$4.26","27","40"
7,"魚油服用時間",null,"50","NT$6.79","94","60"
8,"魚油不能吃",null,"40","NT$5.37","55","48"
9,"魚池附近美食",null,"40","NT$0.00","1","32"
10,"吃魚油對身體有什麼好處",null,"40","NT$12.95","90","59"
11,"大研魚油功效",null,"40","NT$14.21","100","62"
12,"魚油 用量",null,"30","NT$12.95","88","45"
13,"大研生醫魚油吃法",null,"30","NT$50.53","97","61"
14,"魚油 沒用",null,"20","NT$0.00","1","19"
15,"魚油要咬嗎",null,"20","NT$7.58","47","46"
16,"對魚油過敏",null,"10","NT$6.47","54","48"
17,"魚油對人體的好處",null,"10","NT$12.79","79","55"
18,"沒有魚丸",null,"10","NT$0.00","1","31"
19,"沒用完的油",null,"10","NT$0.00","1","31"
20,"大研生醫魚油 dha",null,"10","NT$111.32","100","49"
21,"dha鱼油",null,"0","NT$0.00","1","30"
22,"魚油用喝的",null,"0","NT$0.00","1","30"
23,"鱼油 没用",null,"0","NT$0.00","1","17"
