No,关键词,搜索意图,搜索量,每次点击付费,付费难度,SEO难度
1,"魚油","transactional","40,500","NT$120.63","100","22"
2,"魚油功效","transactional, commercial","90,500","NT$21.16","64","9"
3,"魚油推薦","transactional","60,500","NT$81.16","46","16"
4,"魚油什麼時候吃","commercial, transactional, informational","49,500","NT$14.21","26","14"
5,"魚油的功效","commercial, informational","6,600","NT$25.89","100","17"
6,"魚油推薦 dcard",null,"3,600","NT$49.58","100","50"
7,"魚油不能跟什麼一起吃","informational","3,600","NT$16.74","60","8"
8,"魚油推薦 ptt","navigational","2,900","NT$70.11","100","21"
9,"魚油推薦ptt","transactional","2,400","NT$68.21","100","18"
10,"魚油iherb",null,"2,400","NT$31.89","100","62"
11,"配方時代 魚油評價",null,"1,900","NT$24.32","100","49"
12,"魚油早上吃還是晚上吃","informational, commercial","1,600","NT$13.26","72","17"
13,"魚油的好處","informational","1,000","NT$23.05","100","13"
14,"魚油可以跟 b群一起吃嗎","commercial, informational","1,000","NT$10.42","47","6"
15,"魚油ptt","navigational, transactional, commercial","1,000","NT$77.68","94","19"
16,"魚油推薦 排行",null,"1,000","NT$48.63","100","49"
17,"大研生醫 魚油評價",null,"880","NT$45.32","100","49"
18,"魚油何時吃","commercial","720","NT$15.47","90","11"
19,"魚油功效 抗發炎",null,"720","NT$18.95","99","48"
20,"魚油一天攝取量","commercial, transactional","590","NT$23.05","99","23"
21,"魚油dcard","transactional","590","NT$117.16","71","53"
22,"大研生醫 魚油ptt","transactional, navigational","590","NT$89.37","100","49"
23,"好市多 魚油ptt","commercial, transactional","590","NT$17.05","98","48"
24,"魚油可以跟綜合維他命 一起吃嗎","commercial, transactional, informational","480","NT$9.63","45","32"
25,"魚油過期 可以吃嗎","informational","480","NT$6.79","13","22"
26,"iherb 魚油ptt","navigational, commercial","480","NT$17.37","94","47"
27,"魚油跟葉黃素可以一起吃嗎","commercial, transactional","390","NT$17.68","61","7"
28,"魚油dha epa","commercial, navigational","390","NT$43.90","100","8"
29,"魚油epa dha","navigational, commercial","390","NT$43.90","100","8"
30,"zinzino 魚油評價",null,"390","NT$12.47","87","45"
31,"魚油功效 膽固醇","commercial, transactional","390","NT$20.21","99","21"
32,"魚油功能",null,"390","NT$7.89","97","61"
33,"魚油epa功效","commercial, transactional","320","NT$32.84","100","7"
34,"魚油葉黃素 一起吃",null,"320","NT$12.79","63","37"
35,"魚油劑量","commercial, informational","320","NT$27.79","100","21"
36,"魚油濃度","commercial, informational","320","NT$33.47","100","20"
37,"魚油rtg","commercial, navigational","320","NT$47.68","100","10"
38,"魚油功效 dcard","navigational","260","NT$19.89","52","14"
39,"魚油功效 ptt",null,"260","NT$12.95","66","38"
40,"魚油功效 眼睛",null,"260","NT$18.00","94","47"
41,"dhc 魚油ptt",null,"260","NT$22.11","33","28"
42,"魚油作用","commercial, informational","260","NT$20.21","87","19"
43,"魚油功效 副作用",null,"260","NT$8.05","70","40"
44,"魚油什麼時候吃比較好",null,"210","NT$5.68","81","56"
45,"魚油品牌 推薦",null,"210","NT$50.53","100","49"
46,"魚油過量 症狀",null,"210","NT$5.68","31","28"
